Country;Region;Year;Economy_status_Developed;Infant_deaths;Under_five_deaths;Alcohol_consumption;Hepatitis_B;Measles;BMI;Polio;Diphtheria;Incidents_HIV;GDP_per_capita;Population_mln;Thinness_ten_nineteen_years;Thinness_five_nine_years;Schooling;Life_expectancy
Uganda;Africa;2005;No;65,6;107,1;11,3;64;64;21,6;59;64;3,78;610;27,68;6,5;6,5;4,4;51,7
Cyprus;European Union;2009;Yes;3;3,5;10,81;96;88;26,7;99;99;0,05;26182;1,1;0,9;1;11,3;79,2
Afghanistan;Asia;2002;No;85,3;121,1;0,02;64;14;21,9;36;36;0,02;320;22,6;19,9;2,2;2,3;56,8
Tonga;Oceania;2008;No;11,8;13,7;1,1;84;98;31,7;99;86;0,17;3967;0,1;0,1;0,1;10,1;69,9
Zimbabwe;Africa;2003;No;50,4;91,6;1,96;70;64;23,4;70;68;10,27;1291;11,98;9,8;9,9;6,8;43,2
Luxembourg;European Union;2000;Yes;3,7;4,5;13,21;77;86;25,6;99;99;0,06;92528;0,44;1;1;10,3;77,9
Antigua and Barbuda;Central America and Caribbean;2010;No;8,3;10;7,16;98;92;26,1;99;98;0,1;13987;0,09;3,3;3,3;9,2;75,8
Burkina Faso;Africa;2004;No;83,3;159,5;5,51;86;31;21,3;83;79;0,63;491;13,03;1,5;1,1;1,3;52,6
St, Lucia;Central America and Caribbean;2006;No;16,1;18,6;13,02;85;83;28;85;85;0,4;10141;0,17;4,3;4,4;7,6;74,3
Solomon Islands;Oceania;2006;No;24,1;28,9;1,01;99;65;25,4;99;99;0,17;1871;0,48;1,3;1,3;4,9;69,5
Turkmenistan;Asia;2015;No;36,4;42,2;3,36;99;99;26,4;99;99;0,08;6433;5,57;3,3;3,3;9,8;67,7
Qatar;Middle East;2005;No;8,9;10,4;1,08;97;98;28;98;97;0,05;57624;0,87;4,8;4,5;8,8;78,3
Nigeria;Africa;2005;No;95;155;11,24;18;64;22,7;45;36;1,05;1948;138,87;12,9;12,9;5,2;48,3
Kenya;Africa;2009;No;40,4;59,9;1,17;88;28;22,8;89;88;2,21;1261;40,9;8,2;8,1;6,1;59,9
Lesotho;Africa;2008;No;77,1;113;2,91;88;80;24,5;86;88;14,53;962;1,99;8;7,8;5,4;43,4
Indonesia;Asia;2004;No;37,1;49,6;0,054;64;29;22;79;71;0,2;2109;223,29;1,9;1,9;7,3;67
Vietnam;Asia;2002;No;21,7;27,4;0,82;89;65;20,1;92;75;0,26;1295;81,53;15,6;16,3;5,8;73,4
Bahrain;Middle East;2003;No;9,7;11,3;2,04;98;99;25,4;97;97;0,05;22336;0,78;6,1;5,9;8,4;75
Paraguay;South America;2003;No;26,2;31,6;4,49;86;55;25,3;86;86;0,17;3816;5,63;2,4;2,3;7;71,2
Antigua and Barbuda;Central America and Caribbean;2015;No;6,5;7,8;9,06;99;84;26,6;86;99;0,2;14285;0,09;3,3;3,3;9,2;76,5
Burundi;Africa;2000;No;94,7;154,5;7,17;87;57;20,6;71;80;1,55;307;6,38;9;8,9;1,8;49,1
Fiji;Oceania;2006;No;19,9;23,4;2,07;99;94;26,8;98;98;0,05;4620;0,83;4,1;3,8;9,3;66,4
Malawi;Africa;2015;No;36,7;53,3;2,04;88;64;22,8;88;88;2,59;381;16,75;6,4;6,2;4,4;62
Guinea;Africa;2005;No;83,9;134,7;0,2;57;64;22,2;59;59;1,15;661;9,11;9,3;9,3;1,6;53,2
Comoros;Africa;2014;No;55,8;74,7;0,13;88;64;24,2;87;87;0,01;1258;0,76;6,8;6,6;4,8;63,2
Rwanda;Africa;2013;No;37,1;52;6,15;98;87;21,9;98;98;0,75;683;10,81;5,9;5,9;3,8;66,2
Antigua and Barbuda;Central America and Caribbean;2011;No;7,9;9,5;7,24;99;89;26,2;99;99;0,1;13525;0,09;3,3;3,3;9,2;76
Turkmenistan;Asia;2007;No;40,6;47,4;2,23;98;98;25,4;98;98;0,08;3353;4,87;3,3;3,3;9,9;65,7
Vanuatu;Oceania;2008;No;24,1;28,8;1,17;61;65;25,8;70;67;0,17;2877;0,22;1,5;1,5;6,6;68,8
United Kingdom;Rest of Europe;2008;Yes;4,8;5,6;10,66;88;86;26,9;92;92;0,08;44121;61,81;0,8;0,5;12,8;79,6
Kyrgyz Republic;Asia;2008;No;29,6;33,7;7,29;97;65;25,6;95;95;0,21;966;5,32;3,3;3,4;10,3;68,5
Italy;European Union;2013;Yes;3,1;3,7;7,35;96;84;25,6;96;96;0,07;30258;60,23;0,5;0,6;10,3;82,7
Czechia;European Union;2014;Yes;2,5;3,1;12,75;99;96;27;99;97;0,08;16951;10,53;1,8;1,9;12,8;78,8
St Vincent and the Grenadines;Central America and Caribbean;2014;No;15,7;17,4;7,12;98;83;27;97;98;0,4;7029;0,11;3,5;3,4;8,6;72
Tanzania;Africa;2001;No;74,4;121,9;6,25;93;64;22,2;65;87;4,25;587;34,39;8,2;8,1;4,3;51,4
Morocco;Africa;2001;No;42,3;50,1;0,45;84;91;24,7;93;96;0,06;1870;29,13;6,7;6,5;3,5;69,2
Estonia;European Union;2009;Yes;4;5;14,66;95;96;26,1;95;95;0,08;14205;1,33;2;2;12,4;74,8
El Salvador;Central America and Caribbean;2011;No;15,8;18,5;2,31;89;81;27,2;90;89;0,21;3447;6,21;1,7;1,6;6,5;71,4
Moldova;Rest of Europe;2010;No;14,7;17,1;6,92;98;92;26,6;97;90;0,42;2255;2,86;2,8;3;11,1;69,6
Myanmar;Asia;2015;No;41;52,2;1,47;89;78;22,6;89;89;0,28;1197;52,68;12,8;13;4,9;65,8
Nepal;Asia;2013;No;32;39,4;0,28;92;65;22,1;92;92;0,17;821;26,92;16,1;16,5;4,2;68,8
Tanzania;Africa;2010;No;47,1;71,9;6,95;91;64;22,8;94;91;2,48;808;44,35;7,1;7,1;5,1;58,6
Belarus;Rest of Europe;2010;No;4,3;5,6;14,43;96;99;26,3;99;98;0,22;5622;9,48;2;2,2;12;70,4
Jamaica;Central America and Caribbean;2000;No;18,9;22,2;3,77;98;96;25,5;95;93;0,87;4841;2,65;2;1,9;7,3;74,1
Rwanda;Africa;2006;No;59,3;93,9;8,79;99;87;21,4;99;99;1,86;488;9,04;6,8;6,8;2,9;57,1
Tajikistan;Asia;2003;No;54,2;65,2;0,74;58;94;24,4;82;85;0,02;556;6,54;4;4;10,6;64,5
Tonga;Oceania;2011;No;11,1;12,9;0,93;82;99;31,9;99;82;0,17;4043;0,1;0,1;0,1;10,9;70,1
Congo Rep;Africa;2013;No;39,7;56,2;1,9;85;64;23;85;85;2,08;2499;4,62;7,7;7,4;6,3;62
Myanmar;Asia;2014;No;42,3;54,1;1,36;88;82;22,5;88;88;0,29;1168;52,28;12,9;13,1;4,8;65,4
Micronesia Fed Sts;Oceania;2002;No;29,4;35,9;2,79;85;65;28,9;84;84;0,17;2984;0,11;0,2;0,2;5,3;64,9
Seychelles;Africa;2015;No;12,7;14,8;8,7;98;98;26,6;97;97;3,5;15158;0,09;5,7;6;9,5;74,3
Bhutan;Asia;2011;No;32,4;40;0,25;95;95;23,4;95;95;0,14;2387;0,69;16,3;17;2,3;68,8
Solomon Islands;Oceania;2010;No;22,2;26,4;1,09;87;65;25,8;84;90;0,17;2099;0,53;1,2;1,2;5,1;70,7
Senegal;Africa;2002;No;62,3;115,1;0,22;87;33;22,3;60;60;0,64;1061;10,28;12;11,9;2,4;58,7
Thailand;Asia;2001;No;17,8;20,9;5,84;95;86;23;97;96;0,6;3605;63,54;9,3;9,6;6,3;70,8
Netherlands;European Union;2015;Yes;3,4;4;8,3;94;92;25,5;95;95;0,04;45193;16,94;1;0,9;12,1;81,5
Portugal;European Union;2014;Yes;3;3,6;10,2;98;96;25,7;98;98;0,13;18833;10,4;0,7;0,5;8,9;81,1
Yemen Rep;Middle East;2004;No;57,3;76,9;0,06;43;95;22,7;72;72;0,02;2472;19,54;13,9;13,9;1,7;62,9
Suriname;South America;2014;No;18,6;20,9;5,39;85;15;26,4;76;85;0,51;9593;0,55;3,5;3,5;8,2;71,1
Guinea-Bissau;Africa;2011;No;69,6;109,1;3,19;86;64;23,1;85;86;2,22;617;1,56;7,8;7,7;2,7;55,1
Zambia;Africa;2008;No;54,5;88,7;2,66;87;39;22;90;87;6,29;1068;12,85;6,8;6,7;6,5;52,6
Gambia;Africa;2003;No;56,4;99,8;3,63;94;64;22,4;87;87;1,55;724;1,45;9,6;9,6;2,2;57,2
United Arab Emirates;Middle East;2011;No;7,2;8,4;1,75;95;95;28,1;95;95;0,13;33246;8,95;5,1;4,9;10;76,5
Burundi;Africa;2015;No;46,2;67,6;3,99;94;65;21,6;94;94;0,27;306;10,16;7,3;7,2;2,9;60,1
United Arab Emirates;Middle East;2009;No;7,6;8,9;1,76;93;93;27,9;94;93;0,13;34580;7,92;5,1;4,9;9,7;76,1
Hungary;European Union;2008;Yes;5,5;6,5;11,75;88;99;26,6;99;99;0,08;11937;10,04;1,9;1,9;11,5;73,7
Malawi;Africa;2013;No;42,2;63,4;2,02;89;64;22,7;89;89;3,32;370;15,84;6,5;6,4;4,4;59,9
Eritrea;Africa;2000;No;56,1;85,2;0,88;87;88;20,1;82;81;0,7;828;2,29;1,2;1,1;3,7;55,3
Italy;European Union;2012;Yes;3,2;3,8;7,48;96;83;25,7;96;97;0,07;31185;59,54;0,5;0,6;9,9;82,2
Oman;Middle East;2011;No;10;11,6;0,5;99;99;26;99;99;0,05;19868;3,25;6,9;6,8;8,3;75,9
Nepal;Asia;2006;No;43,8;56,3;0,19;69;65;21,3;91;89;0,17;629;26,07;17,4;18;2,9;65,8
Serbia;Rest of Europe;2009;No;6,7;7,8;9,78;93;87;25,7;97;95;0,02;5148;7,32;2,3;2,3;10,4;74
France;European Union;2013;Yes;3,1;4,1;11,73;74;75;25;99;99;0,1;36205;66;0,6;0,6;11,2;82,2
Greece;European Union;2010;Yes;3,4;3,9;8,33;95;77;27,1;99;99;0,1;21560;11,12;0,8;0,7;10,3;80,4
Guyana;South America;2003;No;34,7;43,2;8,75;90;71;25;91;90;0,93;3966;0,75;5,8;5,6;7,8;66,1
Nigeria;Africa;2009;No;85,9;138,3;10,58;63;64;22,9;66;63;0,79;2286;154,32;11,7;11,6;5,2;50,4
Bolivia;South America;2011;No;31,2;39,2;3,3;95;83;26;95;95;0,18;2603;10,21;1,2;1,1;8;68,5
Australia;Oceania;2010;Yes;4;4,8;10,52;92;88;26,9;92;92;0,05;53543;22,03;0,7;0,6;12,4;81,7
Jordan;Middle East;2009;No;17,6;20,7;0,56;98;90;28,5;98;98;0,13;4782;6,89;3,8;3,8;9,9;73,3
Timor-Leste;Oceania;2010;No;51,4;61,5;0,1;72;64;20,7;72;72;0,08;1186;1,09;11,5;11,5;4,4;67,2
Timor-Leste;Oceania;2003;No;73;91,2;0,44;75;64;20,1;55;55;0,05;934;0,95;12,1;12,1;3;61,9
Paraguay;South America;2014;No;19,6;23;5,39;87;76;26,5;93;87;0,14;5329;6,6;2;1,9;8,2;73,5
Suriname;South America;2002;No;25,7;29,1;4,58;84;16;25,6;74;73;0,98;6488;0,48;3,5;3,5;7,7;68,1
China;Asia;2011;No;11,5;14,6;5,36;99;99;23,3;99;99;0,1;6153;1345,04;4,1;3,5;7,4;74,7
Serbia;Rest of Europe;2012;No;6,2;7,1;8,78;97;90;25,9;93;91;0,02;5344;7,2;2,1;2,1;10,5;74,8
Yemen Rep;Middle East;2013;No;45,2;58,4;0,04;73;95;23,5;67;73;0,03;2348;25,15;13,7;13,5;3;66
Mozambique;Africa;2015;No;61,3;84;1,22;88;64;22,7;88;80;3,5;590;27,04;3,6;3,5;3,5;57,2
Poland;European Union;2002;Yes;7,3;8,4;8,02;98;97;25,5;98;99;0,08;7607;38,23;2,5;2,6;11,4;74,5
Bulgaria;European Union;2015;Yes;6,9;8,2;10,89;92;87;26,4;91;91;0,03;7075;7,18;1,9;1,8;11,8;74,6
China;Asia;2005;No;19,4;24;2,92;84;84;22,8;87;87;0,1;3391;1303,72;5;4,4;6,9;73
France;European Union;2006;Yes;3,3;4,5;13,05;39;65;25;99;99;0,11;35826;63,62;0,6;0,6;10,6;80,8
Czechia;European Union;2008;Yes;3;3,7;13,65;99;98;26,7;99;99;0,08;17047;10,38;1,9;2;12,2;77
Sierra Leone;Africa;2015;No;95,1;140,2;3,06;86;60;22,7;86;86;0,85;588;7,17;7,4;7,3;3,4;52,9
Qatar;Middle East;2013;No;7,2;8,4;1,03;97;99;28,8;99;97;0,06;62733;2,34;5,1;4,7;9,9;79,5
Burkina Faso;Africa;2013;No;62,7;108,3;5,49;88;34;22;89;88;0,23;639;17,07;8,4;7,9;1,4;58,9
Sao Tome and Principe;Central America and Caribbean;2002;No;48;71;5,93;70;71;23,7;92;92;1,08;1087;0,15;7,6;7,6;4,3;62,7
Mauritius;Africa;2007;No;13;15,2;3,23;97;80;24,9;96;97;1,05;6939;1,24;7,5;7,4;7,6;72,6
Kazakhstan;Asia;2014;No;11,6;13;3,64;95;99;26,3;95;95;0,14;10539;17,29;2,4;2,5;11,7;71,4
Argentina;South America;2012;No;11,9;13,3;8;91;89;27,3;90;91;0,14;13896;41,73;1;0,9;9,8;75,6
Ireland;European Union;2001;Yes;5,8;6,9;14,04;95;86;26,4;84;84;0,05;43139;3,87;0,3;0,3;11;77,1
Congo Rep;Africa;2014;No;38,7;54,4;1,9;90;64;23,1;90;90;2,06;2603;4,74;7,6;7,3;6,3;62,6
Guinea;Africa;2010;No;74,4;117,7;0,2;64;64;22,6;62;64;0,93;689;10,19;8,2;8,2;1,6;56,9
Tonga;Oceania;2001;No;14,2;16,5;1,34;91;98;31,3;95;89;0,17;3790;0,1;0,1;0,1;9,1;69,7
Rwanda;Africa;2009;No;47;69,6;7,3;97;87;21,6;93;97;1,09;573;9,78;6,6;6,4;3,3;62,1
Mongolia;Asia;2005;No;33,1;40,9;5,17;98;98;24,8;99;99;0,02;2068;2,53;2,3;2,4;8,6;65,1
Seychelles;Africa;2001;No;11,8;13,7;6,84;96;98;25,5;96;96;3,5;10915;0,08;6,2;6,6;7,5;73,3
Syrian Arab Republic;Middle East;2005;No;16,8;19,7;0,79;83;81;27,3;83;80;0,13;1532;18,36;6,5;6,3;5,8;74,4
Latvia;European Union;2002;Yes;10,2;12,6;7,44;98;96;25,7;98;97;0,19;7849;2,31;2,7;2,7;10,6;71
France;European Union;2005;Yes;3,3;4,6;12,88;35;65;25;98;98;0,11;35214;63,18;0,6;0,6;10,4;80,2
Syrian Arab Republic;Middle East;2015;No;25,6;41,6;0,23;41;47;28,2;50;41;0,13;979;18;6,3;6,1;5,1;69,9
Indonesia;Asia;2006;No;32,4;39,9;0,062;66;50;22,2;78;72;0,22;2289;229,32;1,8;1,8;7,9;67,7
United Arab Emirates;Middle East;2013;No;6,8;8;1,86;98;98;28,2;98;98;0,13;35496;9,2;5,2;5;10,3;76,9
Burkina Faso;Africa;2010;No;68,1;121,5;5,44;91;32;21,8;90;91;0,31;582;15,61;9;8,6;1,4;57,1
Haiti;Central America and Caribbean;2005;No;65,3;89,4;3,49;60;83;23,9;60;60;1,14;1284;9,2;4,4;4,4;4,3;58,7
Mali;Africa;2008;No;81,1;140,2;0,58;74;64;22,4;74;74;0,62;707;14,11;9,2;9;1,9;54,2
Cambodia;Asia;2013;No;30,3;35,3;2,8;83;52;21,9;71;83;0,11;1048;15,03;11;11,1;4,6;67,9
Eswatini;Africa;2000;No;67,8;112,2;6,8;83;99;25,5;87;84;21,68;2472;1,01;9,4;9,6;3,9;47,5
Kyrgyz Republic;Asia;2009;No;27,8;31,6;5,98;96;65;25,7;96;95;0,21;982;5,38;3,3;3,4;10,4;69,1
Grenada;Central America and Caribbean;2000;No;12,9;15,5;9,21;97;70;25,3;97;97;0,4;6977;0,1;4,3;4,2;7,4;72,6
Guyana;South America;2008;No;31,7;39;5,83;93;84;25,6;93;93;0,71;4512;0,75;5,6;5,4;8;67,5
Micronesia Fed Sts;Oceania;2009;No;27,8;33,7;2,05;89;65;29,3;81;91;0,17;3015;0,1;0,2;0,2;7;66,3
Barbados;Central America and Caribbean;2011;No;13,7;14,8;8,69;91;94;27,4;91;91;0,35;16619;0,28;3,8;3,8;9,9;78,5
Kiribati;Oceania;2003;No;49,5;64,8;0,44;73;35;29;79;70;0,17;1541;0,09;0,2;0,2;7,1;64
Bahrain;Middle East;2007;No;8,4;9,8;1,83;97;99;25,1;97;97;0,05;22112;1,04;6,1;5,9;8,4;75,6
Colombia;South America;2006;No;17,8;20,8;4,43;93;85;25,4;94;93;0,21;4638;43,2;2,3;2,1;6,7;74,5
Germany;European Union;2012;Yes;3,4;4;11,32;88;93;26,4;94;95;0,03;40069;80,43;1,1;1,1;14;80,5
Fiji;Oceania;2000;No;19,1;22,4;2,46;98;84;26,3;91;90;0,03;4107;0,81;4,3;4;9,6;65,7
India;Asia;2014;No;36,9;46,2;3;79;60;21,7;84;85;0,07;1503;1295,6;26,8;27,4;6,1;68,3
Venezuela;South America;2004;No;16,4;19,1;7,58;82;83;26,4;83;86;0,4;4326;26;1,7;1,6;7,2;72,7
Belgium;European Union;2006;Yes;4;4,8;10,94;94;78;25,8;99;98;0,08;39148;10,55;0,8;0,8;11,1;79,4
Slovak Republic;European Union;2014;Yes;5,2;6,4;10,26;97;97;26,3;97;97;0,01;15547;5,42;1,2;1,2;12,3;76,8
Antigua and Barbuda;Central America and Caribbean;2007;No;9,6;11,7;8,11;97;78;25,8;98;99;0,1;18062;0,08;3,4;3,3;9,2;75,4
El Salvador;Central America and Caribbean;2015;No;13,3;15,5;2,54;91;88;27,6;92;91;0,18;3706;6,33;1,6;1,5;6,6;72,4
Panama;Central America and Caribbean;2015;No;14,6;17;6,84;73;92;26,8;72;73;0,4;13630;3,97;1,9;1,8;9,9;77,8
Bulgaria;European Union;2010;Yes;9;10,8;9,82;95;96;26;94;94;0,03;6428;7,4;2;2;10,6;73,5
Mozambique;Africa;2013;No;64,7;92,3;1;78;64;22,5;84;78;3,5;544;25,56;3,6;3,5;3,4;54,9
Croatia;European Union;2005;Yes;5,8;6,7;10,72;96;98;26,1;96;96;0,02;11400;4,31;1,8;1,8;9,7;75,2
Libya;Africa;2004;No;21;24,4;0,012;99;95;27,1;97;97;0,07;11583;5,71;5,5;5,4;6,3;71,7
Bolivia;South America;2000;No;55,9;75,6;2,3;77;83;24,7;74;75;0,26;2059;8,42;1,5;1,4;7,4;62,5
Maldives;Asia;2003;No;22,8;27,1;1,95;98;71;23,5;98;98;0,17;7553;0,3;14,6;14,7;3,3;72,4
Vanuatu;Oceania;2005;No;23,6;28,2;0,89;61;65;25,7;67;68;0,17;2622;0,21;1,6;1,5;6,5;68,4
Eswatini;Africa;2014;No;50,1;62,4;7,28;98;89;26,7;98;98;15,74;3630;1,1;4,3;4,3;6,5;53,6
Iraq;Middle East;2000;No;35,6;44,5;0,22;67;48;27;83;80;0,13;4337;23,5;5,6;5,4;5;69,1
Liberia;Africa;2002;No;111,9;163,7;4,29;58;64;23,2;51;39;3,5;780;3,02;8,8;8,9;3,6;52,8
Guinea-Bissau;Africa;2013;No;64,3;99,7;2,95;87;64;23,2;86;87;1,82;593;1,65;7,5;7,3;2,8;56,1
Cote d'Ivoire;Africa;2011;No;72,9;103,1;1,14;62;64;23,5;58;62;1,16;1559;21,03;6,1;6;4,4;53,6
Haiti;Central America and Caribbean;2009;No;60;81,2;3,53;60;83;24,5;65;65;0,9;1396;9,8;4,1;4,1;4,7;60,1
Togo;Africa;2002;No;71,8;112,9;0,86;81;64;22,2;58;59;2,34;501;5,2;9;8,9;4,1;53,7
Bahamas;Central America and Caribbean;2008;No;13,9;16,2;9,65;90;83;27,4;93;93;0,53;34229;0,34;2,5;2,5;10,9;72
Nicaragua;Central America and Caribbean;2011;No;19,5;22,9;3,34;98;83;26,8;99;98;0,12;1761;5,9;1,8;1,8;6,1;72,7
Trinidad and Tobago;Central America and Caribbean;2011;No;19,5;21,8;5,79;90;83;27,1;91;90;0,4;18026;1,34;5,9;6,2;10,8;72,2
Samoa;Oceania;2009;No;18,8;25,7;2,88;44;14;31,4;61;49;0,17;4012;0,18;0,2;0,2;9,9;71,4
Djibouti;Africa;2004;No;72,9;91,1;0,51;88;82;23,7;64;64;0,85;863;0,77;6;5,9;3,6;57,7
Zimbabwe;Africa;2008;No;54,5;94,5;2,82;75;64;23,6;75;75;7,81;850;12,38;7,8;7,8;7;46,5
Liberia;Africa;2009;No;74,2;103,6;3,76;64;64;23,7;84;81;3,5;634;3,75;7,6;7,4;4;59
Jordan;Middle East;2015;No;15;17,5;0,3;99;96;28,9;99;99;0,13;4164;9,27;4;4;10,3;74,1
Latvia;European Union;2008;Yes;7,3;8,8;11,84;93;94;26,2;94;94;0,19;12893;2,18;2,3;2,4;12,2;72,4
Bangladesh;Asia;2001;No;60;81,1;0,004;75;63;20,3;85;85;0,01;674;130,09;2,7;21,3;4,3;66
Moldova;Rest of Europe;2007;No;15,7;18,3;7,81;95;92;26,4;93;92;0,44;2069;2,87;3;3,2;10,9;68,3
Grenada;Central America and Caribbean;2010;No;13;15,1;7,71;97;86;26,4;94;97;0,4;8058;0,11;3,8;3,8;8,3;72,9
Tanzania;Africa;2015;No;40,9;58,1;7,86;98;64;23,1;96;98;2,01;948;51,48;6,7;6,5;5,8;63,1
Kuwait;Middle East;2014;No;7,7;8,9;0;96;86;29,4;94;95;0,13;30857;3,69;3,4;3,4;6,9;75
Gabon;Africa;2015;No;36,1;50,3;8,06;80;64;25,2;79;80;1,09;7385;1,95;6,1;5,9;8,1;64,9
Mozambique;Africa;2002;No;100,3;152,6;0,66;76;64;21,7;76;76;3,5;341;18,76;4;4;2,5;49,6
Senegal;Africa;2000;No;67,7;129,5;0,24;87;33;22,1;49;52;0,68;1067;9,8;12,3;12,3;1,9;57,8
Armenia;Rest of Europe;2011;No;15,5;17,3;4,07;95;98;26,1;96;95;0,08;3099;2,88;2;2,1;11,2;73,6
Belgium;European Union;2001;Yes;4,6;5,6;11,01;60;78;25,5;96;95;0,08;35943;10,29;0,8;0,8;10,2;78
Cyprus;European Union;2011;Yes;2,7;3,2;10,71;96;88;26,8;99;99;0,06;25466;1,12;0,9;1;11,6;79,6
Lebanon;Middle East;2005;No;12,1;14,1;1,73;77;34;26,7;74;77;0,03;6668;4,7;4,7;4,6;7,5;76,9
Ireland;European Union;2005;Yes;4,4;5,2;13,06;95;86;26,8;90;90;0,06;49382;4,16;0,3;0,2;11,7;78,9
Tunisia;Africa;2002;No;22;26,1;1,15;93;98;25,3;96;96;0,01;2980;9,87;6,5;6,4;5,2;73,6
Zimbabwe;Africa;2001;No;51,1;93,8;1,93;76;64;23,3;76;75;11,96;1715;11,92;1,6;1,7;6,7;44
Azerbaijan;Asia;2015;No;23,3;26,3;0,51;96;98;26,9;98;96;0,05;5500;9,65;2,8;2,9;10,7;72,3
Sao Tome and Principe;Central America and Caribbean;2003;No;45;65,6;6,7;43;71;23,8;94;94;0,89;1136;0,15;7,4;7,4;4,4;63,4
Nigeria;Africa;2015;No;79,3;126,4;4,51;49;64;23,2;42;49;0,58;2687;181,14;9,8;9,7;6;53,1
Thailand;Asia;2015;No;9,3;10,8;6,95;99;95;24,3;99;99;0,16;5840;68,71;7,7;7,7;7,6;76,1
Albania;Rest of Europe;2006;No;16,6;18,5;5,17;98;94;25,7;97;97;0,03;2851;2,99;1,7;1,8;9,2;75,4
Romania;European Union;2014;Yes;8,3;9,9;9,48;94;84;26,6;94;94;0,04;8671;19,91;2,6;2,8;10,9;74,9
Equatorial Guinea;Africa;2007;No;87,4;124,4;8,31;46;64;23,3;55;41;4,21;14620;0,82;9,5;9,5;5,4;54,8
Brunei Darussalam;Asia;2000;No;8,2;10,3;0,35;99;95;25,3;99;99;0,1;34064;0,33;6,8;6,3;8,3;73,1
Eswatini;Africa;2006;No;58,8;109;6,26;93;99;26;88;87;18,94;3060;1,04;6,9;7,1;5,1;42,7
Egypt Arab Rep;Africa;2005;No;29,3;35,7;0,15;98;64;28,2;98;98;0,13;2830;75,52;3,2;3,2;5,6;69,4
Zambia;Africa;2013;No;46,6;71,1;2,98;79;40;22,4;74;79;5;1321;14,93;6,4;6,2;6,8;59,7
Kenya;Africa;2003;No;53,2;85,4;1,5;73;28;22,2;75;73;3,71;1135;34,68;8,8;8,8;5,6;52,4
Haiti;Central America and Caribbean;2014;No;54,1;71,9;2,69;48;83;25,1;63;48;0,71;1371;10,55;3,9;3,9;5,1;62,1
Rwanda;Africa;2012;No;38,8;54,9;6,43;98;87;21,8;98;98;0,84;669;10,55;6,1;6,1;3,7;65,4
Iceland;Rest of Europe;2013;Yes;1,9;2,4;6,8;88;94;26,1;91;91;0,05;50947;0,32;1;0,9;11,9;82,1
Sierra Leone;Africa;2008;No;114,2;174,9;3,83;77;60;22,5;75;77;1,21;516;6,13;8,7;8,7;2,9;47,5
Qatar;Middle East;2014;No;7;8,1;1,01;89;95;29;99;89;0,06;62785;2,46;5,2;4,8;9,8;79,6
Switzerland;Rest of Europe;2011;Yes;3,9;4,5;9,99;88;86;25,1;96;96;0,06;82678;7,91;0,5;0,3;13,3;82,7
Kenya;Africa;2006;No;45,7;72;0,86;80;28;22,5;77;80;2,92;1239;37,65;8,5;8,4;5,9;56,1
Mongolia;Asia;2015;No;16,6;19,4;8,35;99;98;26,1;99;99;0,01;3875;3;2,2;2,3;10,1;69,1
Central African Republic;Africa;2005;No;106,1;160,8;1,57;45;64;22;47;54;3,05;455;4,04;9,7;9,7;3,3;44,7
Grenada;Central America and Caribbean;2003;No;12,5;14,8;9,89;97;68;25,7;98;97;0,4;7653;0,1;4;4,1;7,6;73
Gabon;Africa;2002;No;51,2;79,6;8,29;70;64;23,9;44;45;3,33;7662;1,29;7,7;7,5;6,5;57,8
Mauritania;Africa;2003;No;68,3;110,8;0,004;61;64;24;75;76;0,42;1283;2,86;1,3;1,1;3,2;61
Portugal;European Union;2015;Yes;3;3,6;10,34;98;95;25,7;98;98;0,12;19250;10,36;0,7;0,5;9,1;81,1
Myanmar;Asia;2008;No;63,4;98,4;0,79;85;57;21,9;85;85;0,39;753;49,93;13,2;13,4;3,9;62,7
Algeria;Africa;2012;No;22,5;26,2;0,43;95;95;25,2;95;95;0,03;4012;37,38;5,9;5,8;7,6;75,4
Tanzania;Africa;2011;No;45,5;68,4;7,09;90;64;22,9;88;90;2,4;845;45,67;7;6,9;5,1;59,5
Colombia;South America;2011;No;15,2;17,7;4,3;85;76;25,8;85;85;0,22;5468;45,66;2,2;2;7,5;75,7
Tanzania;Africa;2005;No;58,5;93,9;5,74;90;64;22,5;91;90;3,41;692;38,45;7,7;7,6;4,8;54,3
Comoros;Africa;2012;No;58,9;79,4;0,11;89;64;24;85;86;0,01;1237;0,72;6,9;6,7;4,6;62,6
Togo;Africa;2014;No;52,2;78,3;1,25;87;64;23,4;82;87;0,72;554;7,14;6,6;6,4;4,7;59,6
Ireland;European Union;2009;Yes;3,6;4,3;10,93;95;86;27,1;94;94;0,07;45386;4,54;0,3;0,2;12,1;80,2
Jordan;Middle East;2002;No;21,4;25,3;0,51;95;90;28;95;95;0,13;3849;5,32;3,9;3,9;9,6;72,1
Netherlands;European Union;2013;Yes;3,5;4,1;8,59;88;92;25,5;97;97;0,05;44055;16,8;1;0,9;12,1;81,3
Cyprus;European Union;2001;Yes;5,2;6;10,16;89;91;26,3;97;97;0,03;23018;0,96;0,9;1;10,1;78,1
Belgium;European Union;2007;Yes;3,9;4,7;13,43;94;78;25,8;99;98;0,08;40290;10,63;0,8;0,8;11,1;79,8
Lithuania;European Union;2000;Yes;8,6;10,7;9,87;98;97;26;92;94;0,04;6423;3,5;3,4;3,4;10,7;72
